Team,Season,Total Points,GK Points,DEF Points,MID Points,FWD Points,Goals Scored,Assists,Clean Sheets,Team (Season)
Leeds,2020-21,1691,168,609,630,284,60,57,127,Leeds (2020-21)
Sheffield Utd,2019-20,1594,163,817,315,299,36,33,141,Sheffield Utd (2019-20)
Fulham,2022-23,1550,149,430,785,186,52,46,100,Fulham (2022-23)
Wolves,2018-19,1530,126,622,591,191,46,45,108,Wolves (2018-19)
Newcastle,2017-18,1472,143,465,542,322,39,37,106,Newcastle (2017-18)
Brentford,2021-22,1467,126,496,692,151,46,40,104,Brentford (2021-22)
Brighton,2017-18,1398,146,412,648,192,33,30,116,Brighton (2017-18)
Burnley,2016-17,1380,154,423,488,315,39,34,110,Burnley (2016-17)
Aston Villa,2019-20,1357,116,434,704,103,40,37,90,Aston Villa (2019-20)
Cardiff,2018-19,1355,154,437,613,151,33,26,113,Cardiff (2018-19)
Middlesbrough,2016-17,1352,138,468,508,238,27,26,119,Middlesbrough (2016-17)
Nott'm Forest,2022-23,1340,133,420,481,306,36,32,90,Nott'm Forest (2022-23)
Bournemouth,2022-23,1327,121,381,620,205,37,29,87,Bournemouth (2022-23)
Huddersfield,2017-18,1292,135,444,483,230,25,25,106,Huddersfield (2017-18)
Fulham,2020-21,1283,126,443,523,191,26,23,107,Fulham (2020-21)
Luton,2023-24,1260,87,346,431,396,49,47,27,Luton (2023-24)
West Brom,2020-21,1225,142,401,470,212,33,29,66,West Brom (2020-21)
Burnley,2023-24,1206,117,299,537,253,40,35,34,Burnley (2023-24)
Norwich,2019-20,1140,121,253,575,191,25,20,59,Norwich (2019-20)
Fulham,2018-19,1135,109,327,490,209,33,28,57,Fulham (2018-19)
Watford,2021-22,1127,106,286,387,348,33,29,48,Watford (2021-22)
Norwich,2021-22,1111,118,315,437,238,21,20,67,Norwich (2021-22)
Hull,2016-17,1070,118,305,446,201,28,28,63,Hull (2016-17)
Sheffield Utd,2023-24,972,85,219,470,198,31,29,17,Sheffield Utd (2023-24)
